"Q1.2","Q10.12","zipcodeflag"
"11226 East Flatbush - Flatbush (Brooklyn)","10271 Lower Manhattan (Manhattan)",0
"10040 Washington Heights (Manhattan)",NA,NA
"11206 Williamsburg - Bushwick (Brooklyn)","11237 Williamsburg - Bushwick (Brooklyn)",0
"10304 Stapleton - St. George (Staten Island)","10301 Stapleton - St. George (Staten Island)",0
"10467 Fordham - Bronx Pk (Bronx)","10457 Crotona -Tremont (Bronx)",0
"11207 East New York (Brooklyn)","11433 Jamaica (Queens)",0
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"10152 Gramercy Park - Murray Hill (Manhattan)","10016 Gramercy Park - Murray Hill (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"11435 Jamaica (Queens)","11691 Rockaways (Queens)",0
"11220 Sunset Park (Brooklyn)",NA,NA
"11217 Downtown - Heights - Slope (Brooklyn)","11103 Long Island City - Astoria (Queens)",0
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"10025 Upper West Side (Manhattan)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11220 Sunset Park (Brooklyn)","10301 Stapleton - St. George (Staten Island)",0
"11101 Long Island City - Astoria (Queens)","10173 Gramercy Park - Murray Hill (Manhattan)",0
"10029 East Harlem (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
"11203 East Flatbush - Flatbush (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11234 Canarsie - Flatlands (Brooklyn)","10021 Upper East Side (Manhattan)",0
"11226 East Flatbush - Flatbush (Brooklyn)","10002 Union Square - Lower East Side (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10304 Stapleton - St. George (Staten Island)","10312 South Beach - Tottenville (Staten Island)",0
"10025 Upper West Side (Manhattan)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"10006 Lower Manhattan (Manhattan)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11206 Williamsburg - Bushwick (Brooklyn)",NA,NA
"10029 East Harlem (Manhattan)",NA,NA
"10453 Crotona -Tremont (Bronx)","10028 Upper East Side (Manhattan)",0
"11220 Sunset Park (Brooklyn)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)","11222 Greenpoint (Brooklyn)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"11206 Williamsburg - Bushwick (Brooklyn)","10016 Gramercy Park - Murray Hill (Manhattan)",0
"10001 Chelsea - Clinton (Manhattan)","10009 Union Square - Lower East Side (Manhattan)",0
"11225 East Flatbush - Flatbush (Brooklyn)","11226 East Flatbush - Flatbush (Brooklyn)",0
"11239 Canarsie - Flatlands (Brooklyn)","11221 Williamsburg - Bushwick (Brooklyn)",0
"10014 Greenwich Village - SoHo (Manhattan)","10012 Greenwich Village - SoHo (Manhattan)",0
"10025 Upper West Side (Manhattan)","10007 Lower Manhattan (Manhattan)",0
"11433 Jamaica (Queens)","11364 Bayside - Little Neck (Queens)",0
"11373 West Queens (Queens)",NA,NA
"10006 Lower Manhattan (Manhattan)","Outside New York City (nowhere in the five boroughs)",0
"10029 East Harlem (Manhattan)",NA,NA
"11103 Long Island City - Astoria (Queens)","10036 Chelsea - Clinton (Manhattan)",0
"11206 Williamsburg - Bushwick (Brooklyn)","10005 Lower Manhattan (Manhattan)",0
"11101 Long Island City - Astoria (Queens)","11360 Flushing - Clearview (Queens)",0
"11206 Williamsburg - Bushwick (Brooklyn)","11233 Bedford Stuyvesant - Crown Heights (Brooklyn)",0
"10029 East Harlem (Manhattan)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"10306 South Beach - Tottenville (Staten Island)","11235 Coney Island - Sheepshead Bay (Brooklyn)",0
"10029 East Harlem (Manhattan)",NA,NA
"10453 Crotona -Tremont (Bronx)","10462 Pelham - Throgs Neck (Bronx)",0
"10005 Lower Manhattan (Manhattan)","10025 Upper West Side (Manhattan)",0
"10453 Crotona -Tremont (Bronx)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)","11210 East Flatbush - Flatbush (Brooklyn)",0
"11206 Williamsburg - Bushwick (Brooklyn)","11207 East New York (Brooklyn)",0
"11218 Borough Park (Brooklyn)","11423 Jamaica (Queens)",0
"10002 Union Square - Lower East Side (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"11228 Bensonhurst - Bay Ridge (Brooklyn)","10169 Gramercy Park - Murray Hill (Manhattan)",0
"10005 Lower Manhattan (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"10170 Gramercy Park - Murray Hill (Manhattan)","10012 Greenwich Village - SoHo (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)","10279 Lower Manhattan (Manhattan)",0
"10002 Union Square - Lower East Side (Manhattan)",NA,NA
"11433 Jamaica (Queens)","10019 Chelsea - Clinton (Manhattan)",0
"10304 Stapleton - St. George (Staten Island)","10004 Lower Manhattan (Manhattan)",0
"10304 Stapleton - St. George (Staten Island)","10023 Upper West Side (Manhattan)",0
"11238 Bedford Stuyvesant - Crown Heights (Brooklyn)",NA,NA
"10009 Union Square - Lower East Side (Manhattan)",NA,NA
"10029 East Harlem (Manhattan)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11226 East Flatbush - Flatbush (Brooklyn)","10018 Chelsea - Clinton (Manhattan)",0
"10025 Upper West Side (Manhattan)",NA,NA
"11234 Canarsie - Flatlands (Brooklyn)","10025 Upper West Side (Manhattan)",0
"11226 East Flatbush - Flatbush (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10005 Lower Manhattan (Manhattan)","10012 Greenwich Village - SoHo (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)","11203 East Flatbush - Flatbush (Brooklyn)",0
"10029 East Harlem (Manhattan)","10468 Fordham - Bronx Pk (Bronx)",0
"11213 Bedford Stuyvesant - Crown Heights (Brooklyn)","11234 Canarsie - Flatlands (Brooklyn)",0
"10025 Upper West Side (Manhattan)","10027 Central Harlem - Morningside Heights (Manhattan)",0
"10003 Union Square - Lower East Side (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"11226 East Flatbush - Flatbush (Brooklyn)","11385 Ridgewood - Forest Hills (Queens)",0
"11374 Ridgewood - Forest Hills (Queens)",NA,NA
"10473 Pelham - Throgs Neck (Bronx)","10279 Lower Manhattan (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)","Outside New York City (nowhere in the five boroughs)",0
"10025 Upper West Side (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"10010 Gramercy Park - Murray Hill (Manhattan)","Outside New York City (nowhere in the five boroughs)",0
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"10162 Upper East Side (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"10001 Chelsea - Clinton (Manhattan)","10023 Upper West Side (Manhattan)",0
"10009 Union Square - Lower East Side (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
"11433 Jamaica (Queens)","11368 Flushing - Clearview (Queens)",0
"10009 Union Square - Lower East Side (Manhattan)","10004 Lower Manhattan (Manhattan)",0
"10069 Upper West Side (Manhattan)","10006 Lower Manhattan (Manhattan)",0
"10027 Central Harlem - Morningside Heights (Manhattan)",NA,NA
"10003 Union Square - Lower East Side (Manhattan)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11694 Rockaways (Queens)","10005 Lower Manhattan (Manhattan)",0
"11220 Sunset Park (Brooklyn)","11221 Williamsburg - Bushwick (Brooklyn)",0
"10029 East Harlem (Manhattan)",NA,NA
"11103 Long Island City - Astoria (Queens)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10003 Union Square - Lower East Side (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"10452 High Bridge - Morrisania (Bronx)","10453 Crotona -Tremont (Bronx)",0
"11226 East Flatbush - Flatbush (Brooklyn)","11210 East Flatbush - Flatbush (Brooklyn)",0
"11206 Williamsburg - Bushwick (Brooklyn)","10278 Lower Manhattan (Manhattan)",0
"11423 Jamaica (Queens)","11436 Jamaica (Queens)",0
"11224 Coney Island - Sheepshead Bay (Brooklyn)","10002 Union Square - Lower East Side (Manhattan)",0
"11231 Downtown - Heights - Slope (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10035 East Harlem (Manhattan)",NA,NA
"11236 Canarsie - Flatlands (Brooklyn)","11213 Bedford Stuyvesant - Crown Heights (Brooklyn)",0
"10473 Pelham - Throgs Neck (Bronx)","10030 Central Harlem - Morningside Heights (Manhattan)",0
"10005 Lower Manhattan (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)","10457 Crotona -Tremont (Bronx)",0
"11206 Williamsburg - Bushwick (Brooklyn)",NA,NA
"11206 Williamsburg - Bushwick (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11220 Sunset Park (Brooklyn)","11232 Sunset Park (Brooklyn)",0
"10311 Willowbrook (Staten Island)","10016 Gramercy Park - Murray Hill (Manhattan)",0
"11206 Williamsburg - Bushwick (Brooklyn)","10001 Chelsea - Clinton (Manhattan)",0
"11109 Long Island City - Astoria (Queens)","11223 Coney Island - Sheepshead Bay (Brooklyn)",0
"10453 Crotona -Tremont (Bronx)","10038 Lower Manhattan (Manhattan)",0
"10025 Upper West Side (Manhattan)",NA,NA
"11433 Jamaica (Queens)","11368 Flushing - Clearview (Queens)",0
"10453 Crotona -Tremont (Bronx)",NA,NA
"11220 Sunset Park (Brooklyn)","10128 Upper East Side (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)","10010 Gramercy Park - Murray Hill (Manhattan)",0
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"10302 Port Richmond (Staten Island)","10314 Willowbrook (Staten Island)",0
"11234 Canarsie - Flatlands (Brooklyn)","11224 Coney Island - Sheepshead Bay (Brooklyn)",0
"10001 Chelsea - Clinton (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"11375 Ridgewood - Forest Hills (Queens)",NA,NA
"10007 Lower Manhattan (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
"10467 Fordham - Bronx Pk (Bronx)","10003 Union Square - Lower East Side (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)","Outside New York City (nowhere in the five boroughs)",0
"10452 High Bridge - Morrisania (Bronx)","11415 Southwest Queens (Queens)",0
"10473 Pelham - Throgs Neck (Bronx)","10459 Hunts Point - Mott Haven (Bronx)",0
"10302 Port Richmond (Staten Island)",NA,NA
"10005 Lower Manhattan (Manhattan)",NA,NA
"11207 East New York (Brooklyn)",NA,NA
"10029 East Harlem (Manhattan)",NA,NA
"10007 Lower Manhattan (Manhattan)","Outside New York City (nowhere in the five boroughs)",0
"10301 Stapleton - St. George (Staten Island)",NA,NA
"10115 Central Harlem - Morningside Heights (Manhattan)",NA,NA
"11210 East Flatbush - Flatbush (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"10003 Union Square - Lower East Side (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"11220 Sunset Park (Brooklyn)","11229 Coney Island - Sheepshead Bay (Brooklyn)",0
"10029 East Harlem (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
"11236 Canarsie - Flatlands (Brooklyn)","11210 East Flatbush - Flatbush (Brooklyn)",0
"10457 Crotona -Tremont (Bronx)","10004 Lower Manhattan (Manhattan)",0
"11101 Long Island City - Astoria (Queens)","10001 Chelsea - Clinton (Manhattan)",0
"10029 East Harlem (Manhattan)","10018 Chelsea - Clinton (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"10472 Pelham - Throgs Neck (Bronx)","11225 East Flatbush - Flatbush (Brooklyn)",0
"11226 East Flatbush - Flatbush (Brooklyn)","10003 Union Square - Lower East Side (Manhattan)",0
"10025 Upper West Side (Manhattan)","10035 East Harlem (Manhattan)",0
"10475 Northeast Bronx (Bronx)",NA,NA
"10003 Union Square - Lower East Side (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"11433 Jamaica (Queens)","11368 Flushing - Clearview (Queens)",0
"10011 Chelsea - Clinton (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
"10033 Washington Heights (Manhattan)","10027 Central Harlem - Morningside Heights (Manhattan)",0
"11228 Bensonhurst - Bay Ridge (Brooklyn)","11217 Downtown - Heights - Slope (Brooklyn)",0
"11226 East Flatbush - Flatbush (Brooklyn)","11235 Coney Island - Sheepshead Bay (Brooklyn)",0
"11206 Williamsburg - Bushwick (Brooklyn)","10016 Gramercy Park - Murray Hill (Manhattan)",0
"10029 East Harlem (Manhattan)",NA,NA
"11208 East New York (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"10473 Pelham - Throgs Neck (Bronx)","11102 Long Island City - Astoria (Queens)",0
"11220 Sunset Park (Brooklyn)","11207 East New York (Brooklyn)",0
"11101 Long Island City - Astoria (Queens)","10038 Lower Manhattan (Manhattan)",0
"11354 Flushing - Clearview (Queens)","11351 Flushing - Clearview (Queens)",0
"10304 Stapleton - St. George (Staten Island)","10004 Lower Manhattan (Manhattan)",0
"10302 Port Richmond (Staten Island)","10305 Stapleton - St. George (Staten Island)",0
"11220 Sunset Park (Brooklyn)","10010 Gramercy Park - Murray Hill (Manhattan)",0
"10040 Washington Heights (Manhattan)","10036 Chelsea - Clinton (Manhattan)",0
"10310 Port Richmond (Staten Island)","11208 East New York (Brooklyn)",0
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"11433 Jamaica (Queens)","10029 East Harlem (Manhattan)",0
"11235 Coney Island - Sheepshead Bay (Brooklyn)","11224 Coney Island - Sheepshead Bay (Brooklyn)",0
"10025 Upper West Side (Manhattan)",NA,NA
"10004 Lower Manhattan (Manhattan)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10021 Upper East Side (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"11102 Long Island City - Astoria (Queens)",NA,NA
"10128 Upper East Side (Manhattan)","10029 East Harlem (Manhattan)",0
"11206 Williamsburg - Bushwick (Brooklyn)","Outside New York City (nowhere in the five boroughs)",0
"11226 East Flatbush - Flatbush (Brooklyn)","11201 Downtown - Heights - Slope (Brooklyn)",0
"10027 Central Harlem - Morningside Heights (Manhattan)","Outside New York City (nowhere in the five boroughs)",0
"10030 Central Harlem - Morningside Heights (Manhattan)","10010 Gramercy Park - Murray Hill (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"11234 Canarsie - Flatlands (Brooklyn)","10004 Lower Manhattan (Manhattan)",0
"11433 Jamaica (Queens)",NA,NA
"11234 Canarsie - Flatlands (Brooklyn)","11201 Downtown - Heights - Slope (Brooklyn)",0
"11206 Williamsburg - Bushwick (Brooklyn)",NA,NA
"10453 Crotona -Tremont (Bronx)",NA,NA
"11412 Jamaica (Queens)","11432 Jamaica (Queens)",0
"10002 Union Square - Lower East Side (Manhattan)",NA,NA
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"11427 Southeast Queens (Queens)","11216 Bedford Stuyvesant - Crown Heights (Brooklyn)",0
"11420 Southwest Queens (Queens)","11105 Long Island City - Astoria (Queens)",0
"10029 East Harlem (Manhattan)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"11694 Rockaways (Queens)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10461 Pelham - Throgs Neck (Bronx)","10465 Pelham - Throgs Neck (Bronx)",0
"10005 Lower Manhattan (Manhattan)","10004 Lower Manhattan (Manhattan)",0
"11101 Long Island City - Astoria (Queens)","11210 East Flatbush - Flatbush (Brooklyn)",0
"10006 Lower Manhattan (Manhattan)","11203 East Flatbush - Flatbush (Brooklyn)",0
"10025 Upper West Side (Manhattan)",NA,NA
"10473 Pelham - Throgs Neck (Bronx)","10459 Hunts Point - Mott Haven (Bronx)",0
"10011 Chelsea - Clinton (Manhattan)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10009 Union Square - Lower East Side (Manhattan)","10472 Pelham - Throgs Neck (Bronx)",0
"10029 East Harlem (Manhattan)","10017 Gramercy Park - Murray Hill (Manhattan)",0
"11206 Williamsburg - Bushwick (Brooklyn)","10278 Lower Manhattan (Manhattan)",0
"11226 East Flatbush - Flatbush (Brooklyn)","10021 Upper East Side (Manhattan)",0
"10029 East Harlem (Manhattan)",NA,NA
"11351 Flushing - Clearview (Queens)","11368 Flushing - Clearview (Queens)",0
"10455 Hunts Point - Mott Haven (Bronx)","11424 Southwest Queens (Queens)",0
"11101 Long Island City - Astoria (Queens)","11211 Greenpoint (Brooklyn)",0
"11209 Bensonhurst - Bay Ridge (Brooklyn)","11206 Williamsburg - Bushwick (Brooklyn)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"11206 Williamsburg - Bushwick (Brooklyn)","10017 Gramercy Park - Murray Hill (Manhattan)",0
"11101 Long Island City - Astoria (Queens)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10453 Crotona -Tremont (Bronx)","Click to write Choice 3",0
"10024 Upper West Side (Manhattan)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)","11223 Coney Island - Sheepshead Bay (Brooklyn)",0
"10475 Northeast Bronx (Bronx)","10002 Union Square - Lower East Side (Manhattan)",0
"10001 Chelsea - Clinton (Manhattan)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"10040 Washington Heights (Manhattan)","10022 Gramercy Park - Murray Hill (Manhattan)",0
"10009 Union Square - Lower East Side (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"10467 Fordham - Bronx Pk (Bronx)","10031 Washington Heights (Manhattan)",0
"11375 Ridgewood - Forest Hills (Queens)","Outside New York City (nowhere in the five boroughs)",0
"10029 East Harlem (Manhattan)","10022 Gramercy Park - Murray Hill (Manhattan)",0
"11220 Sunset Park (Brooklyn)","11213 Bedford Stuyvesant - Crown Heights (Brooklyn)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"11692 Rockaways (Queens)","11451 Jamaica (Queens)",0
"11220 Sunset Park (Brooklyn)",NA,NA
"10304 Stapleton - St. George (Staten Island)","11201 Downtown - Heights - Slope (Brooklyn)",0
"10462 Pelham - Throgs Neck (Bronx)","10018 Chelsea - Clinton (Manhattan)",0
"10001 Chelsea - Clinton (Manhattan)",NA,NA
"10029 East Harlem (Manhattan)","10016 Gramercy Park - Murray Hill (Manhattan)",0
"11201 Downtown - Heights - Slope (Brooklyn)","11205 Downtown - Heights - Slope (Brooklyn)",0
"11210 East Flatbush - Flatbush (Brooklyn)","10001 Chelsea - Clinton (Manhattan)",0
"10004 Lower Manhattan (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"11433 Jamaica (Queens)","10036 Chelsea - Clinton (Manhattan)",0
"11207 East New York (Brooklyn)","11206 Williamsburg - Bushwick (Brooklyn)",0
"10023 Upper West Side (Manhattan)",NA,NA
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"11220 Sunset Park (Brooklyn)","11232 Sunset Park (Brooklyn)",0
"10029 East Harlem (Manhattan)",NA,NA
"11209 Bensonhurst - Bay Ridge (Brooklyn)","11221 Williamsburg - Bushwick (Brooklyn)",0
"10007 Lower Manhattan (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"10303 Port Richmond (Staten Island)","11223 Coney Island - Sheepshead Bay (Brooklyn)",0
"10453 Crotona -Tremont (Bronx)","10459 Hunts Point - Mott Haven (Bronx)",0
"10304 Stapleton - St. George (Staten Island)",NA,NA
"11206 Williamsburg - Bushwick (Brooklyn)","10454 Hunts Point - Mott Haven (Bronx)",0
"10032 Washington Heights (Manhattan)","Outside New York City (nowhere in the five boroughs)",0
"10032 Washington Heights (Manhattan)","11377 West Queens (Queens)",0
"10032 Washington Heights (Manhattan)",NA,NA
"10032 Washington Heights (Manhattan)","10007 Lower Manhattan (Manhattan)",0
"10032 Washington Heights (Manhattan)","10004 Lower Manhattan (Manhattan)",0
"10032 Washington Heights (Manhattan)",NA,NA
"10032 Washington Heights (Manhattan)",NA,NA
"10032 Washington Heights (Manhattan)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
